"","x","y","z","Sample","School"
"1",11,11,NA,"P","73"
"2",14,16,NA,"P","74"
"3",4,7,NA,"P","40"
"4",2,1,NA,"P","28"
"5",3,4,NA,"P","67"
"6",9,8,NA,"P","63"
"7",8,4,NA,"P","16"
"8",2,4,NA,"P","24"
"9",10,9,NA,"P","39"
"10",6,5,NA,"P","63"
"11",14,17,NA,"P","53"
"12",10,14,NA,"P","23"
"13",5,6,NA,"P","53"
"14",7,9,NA,"P","73"
"15",4,6,NA,"P","6"
"16",11,12,NA,"P","56"
"17",8,7,NA,"P","7"
"18",1,1,NA,"P","63"
"19",14,14,NA,"P","1"
"20",14,16,NA,"P","10"
"21",9,7,NA,"P","39"
"22",5,7,NA,"P","67"
"23",6,14,NA,"P","41"
"24",8,6,NA,"P","70"
"25",3,6,NA,"P","40"
"26",5,8,NA,"P","1"
"27",11,11,NA,"P","35"
"28",7,10,NA,"P","74"
"29",5,6,NA,"P","40"
"30",7,4,NA,"P","4"
"31",7,7,NA,"P","14"
"32",13,14,NA,"P","1"
"33",11,10,NA,"P","65"
"34",14,17,NA,"P","32"
"35",4,3,NA,"P","29"
"36",11,14,NA,"P","32"
"37",15,14,NA,"P","60"
"38",14,12,NA,"P","69"
"39",5,8,NA,"P","16"
"40",2,3,NA,"P","7"
"41",6,2,NA,"P","15"
"42",12,12,NA,"P","40"
"43",1,4,NA,"P","7"
"44",11,13,NA,"P","23"
"45",13,15,NA,"P","64"
"46",14,12,NA,"P","4"
"47",7,4,NA,"P","38"
"48",9,11,NA,"P","1"
"49",12,14,NA,"P","38"
"50",10,14,NA,"P","64"
"51",13,9,NA,"P","39"
"52",6,8,NA,"P","77"
"53",5,5,NA,"P","24"
"54",3,1,NA,"P","3"
"55",12,14,NA,"P","10"
"56",1,3,NA,"P","3"
"57",9,15,NA,"P","28"
"58",15,15,NA,"P","65"
"59",6,6,NA,"P","77"
"60",0,1,NA,"P","8"
"61",6,11,NA,"P","74"
"62",14,14,NA,"P","35"
"63",10,13,NA,"P","53"
